filename	subfolder	en	am	artist
Dirasha-0014.png	Segen	girl,boy,bed,cat,chasing away,yelling,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0015.png	Segen	boys,lemon tree,shaking,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0016.png	Segen	boys,goats,hut,yard,sweeping,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0017.png	Segen	market,women,man,donkey,carrying,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0018.png	Segen	man,woman,helping,wood,loading,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0019.png	Segen	woman,teacher,boys,playing,ball,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0020.png	Segen	woman,teacher,girls,playing,ball,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0021.png	Segen	man,donkey,walking,carrying,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0022.png	Segen	moringa trees,boy,watching,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0023.png	Segen	girl,standing,basket,carrying,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0024.png	Segen	house,hut,tradition,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0025.png	Segen	hut,girl,sitting,grain,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0026.png	Segen	hut,cow,camel,compound,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0027.png	Segen	boys,friends,sack,tree,sitting,talking,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0028.png	Segen	field,repairing,erosion,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0029.png	Segen	boy,girl,standing,lemon tree,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0030.png	Segen	tradition,basket,pot,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0031.png	Segen	boy,tree,fruit,eating,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0032.png	Segen	boys,sticks,grain,thresh,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0033.png	Segen	music,instrument,pipe,Ethiopia,Dirasha,Segen		Izabela Karpienia
Dirasha-0034.png	Segen	boys,goat,blood,slaughter,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0035.png	Segen	music,instrument,pipe,small,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0036.png	Segen	teacher,female,boys,girls,play,ball,group,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0037.png	Segen	boys,play,ball,run,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0038.png	Segen	hut,tradition,construction,men,ladder,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0039.png	Segen	woman,sitting,cooking,stirring,pot,fire,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0040.png	Segen	boys,sitting,hugging,friendship,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0041.png	Segen	boys,sitting,playing,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0042.png	Segen	boy,girl,sitting,food,eating,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0043.png	Segen	boys,washing hands,water,tap,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0044.png	Segen	boy,girl,standing,teeth,brushing,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0045.png	Segen	boy,girl,stones,river,clothes,laundry,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0046.png	Segen	woman,sitting,pot,stick,stirring,fire,preparing food,goats,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0047.png	Segen	boys,sitting,watching,cows,basket,feeding,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0048.png	Segen	man,bedroom,bed,blanket,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0049.png	Segen	children,boys,girl,cows,pasture,watching,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0050.png	Segen	boy,sitting,eating,cow,standing,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0051.png	Segen	children,watching,learning,talking,woman,cooking,stirring,pot,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0052.png	Segen	children,woman,cooking,waiting,watching,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0053.png	Segen	woman,children,pot,pouring out,food,watching,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0054.png	Segen	woman,children,pot,food,serving,watching,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0055.png	Segen	woman,children,food,cooking,sitting,waiting,talking,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0056.png	Segen	woman,children,table,seats,food,eating,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0057.png	Segen	girl,boy,holding,papaya,standing,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0058.png	Segen	children,boy,tall,papaya,picking,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0059.png	Segen	boy,squatting,planting,papaya,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0060.png	Segen	students,friends,boys,girl,talking,joking,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0061.png	Segen	boy,girl,papaya tree,watching,fruit,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0062.png	Segen	girl,squatting,planting,papaya,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0063.png	Segen	boy,girl,squatting,planting,papaya,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0064.png	Segen	boy,girl,tree,sitting,drinking,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0065.png	Segen	schoolchildren,boy,talking,listening,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0066.png	Segen	students,girl,boys,talking,joking,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0067.png	Segen	disabled boy,boys,girl,students,walking,talking,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0068.png	Segen	boy,girl,rat,collecting,sticks,firewood,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0069.png	Segen	boy,girl,firewood,carrying,walking,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0070.png	Segen	boy,girl,woman,watching,learning,helping,moringa,food preparation,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0071.png	Segen	boy,girl,woman,food preparation,watching,learning,injera,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0072.png	Segen	hut,straw,grass,traditional,construction,man,working,Ethiopia,Dirasha,Segen		
Dirasha-0073.png	Segen	boy,girl,table,stools,tray,food,eating,sitting,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0074.png	Segen	toilet,hygiene,boy,girl,washing hands,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0075.png	Segen	girls,clothes,river,water,stones,washing,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0076.png	Segen	boy,girl,cleaning,burning,trash,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0077.png	Segen	boy,cows,driving,stone fence,Ethiopia,Dirasha,Segen		Senait Worku
Dirasha-0078.png	Segen	girl,standing,pot,stick,stirring,fire,preparing food,goats,Ethiopia,Dirasha,Segen		Senait Worku
